customer_id,external_id,email,state,segment,signup_date,last_update
CUST_00000,EXT_00655,userext_00655@email.com,SP,low,2024-01-15,2024-02-24
CUST_00001,EXT_00251,userext_00251@email.com,RJ,mid,2024-01-13,2024-01-09
CUST_00002,EXT_00693,userext_00693@email.com,,low,2023-10-30,2024-01-16
CUST_00003,EXT_00033,userext_00033@email.com,SP,low,2023-04-22,2023-05-21
CUST_00004,EXT_00518,userext_00518@email.com,BA,low,2023-10-15,2023-11-04
CUST_00005,EXT_00734,userext_00734@email.com,,,2023-04-23,2023-07-16
CUST_00006,EXT_00604,userext_00604@email.com,MG,low,2024-01-24,2024-07-18
CUST_00007,EXT_00164,userext_00164@email.com,,,2023-06-24,2023-08-04
CUST_00008,EXT_00160,userext_00160@email.com,RJ,high,2023-02-22,2023-02-15
CUST_00009,EXT_00390,userext_00390@email.com,SP,high,2023-06-26,2023-10-28
CUST_00010,EXT_00271,userext_00271@email.com,SP,,2023-10-02,2023-10-03
CUST_00011,EXT_00388,userext_00388@email.com,SP,high,2023-11-18,2024-03-25
CUST_00012,EXT_00883,userext_00883@email.com,MG,mid,2023-12-27,2023-12-14
CUST_00013,EXT_00047,userext_00047@email.com,,mid,2024-01-31,2024-03-15
CUST_00014,EXT_00082,userext_00082@email.com,RJ,low,2023-07-14,2023-08-24
CUST_00015,EXT_00465,userext_00465@email.com,,high,2023-03-25,2023-05-28
CUST_00016,EXT_00364,userext_00364@email.com,RJ,high,2023-12-26,2024-05-18
CUST_00017,EXT_00664,userext_00664@email.com,SP,mid,2023-10-01,2024-03-05
CUST_00018,EXT_00251,userext_00251@email.com,RJ,,2023-07-14,2023-08-22
CUST_00019,EXT_00656,userext_00656@email.com,,mid,2023-12-17,2024-02-08
CUST_00020,EXT_00864,userext_00864@email.com,SP,mid,2023-01-17,2023-07-12
CUST_00021,EXT_00324,userext_00324@email.com,CE,high,2023-02-03,2023-02-27
CUST_00022,EXT_00581,userext_00581@email.com,,high,2023-04-19,2023-09-03
CUST_00023,EXT_00512,userext_00512@email.com,CE,,2023-03-15,2023-04-21
CUST_00024,EXT_00143,userext_00143@email.com,RJ,high,2024-01-18,2024-05-16
CUST_00025,EXT_00439,userext_00439@email.com,BA,,2023-07-05,2023-07-31
CUST_00026,EXT_00142,userext_00142@email.com,BA,,2023-02-16,2023-07-29
CUST_00027,EXT_00049,userext_00049@email.com,SP,mid,2023-11-18,2023-11-28
CUST_00028,EXT_00812,userext_00812@email.com,,,2023-11-02,2023-10-19
CUST_00029,EXT_00395,userext_00395@email.com,CE,,2023-09-28,2023-11-01
CUST_00030,EXT_00567,userext_00567@email.com,SP,low,2023-12-16,2024-06-29
CUST_00031,EXT_00550,userext_00550@email.com,MG,high,2023-02-27,2023-04-13
CUST_00032,EXT_00446,userext_00446@email.com,RJ,,2023-01-02,2023-06-05
CUST_00033,EXT_00897,userext_00897@email.com,,high,2023-09-14,2024-02-26
CUST_00034,EXT_00183,userext_00183@email.com,BA,low,2023-11-17,2024-01-02
CUST_00035,EXT_00862,userext_00862@email.com,,mid,2023-03-20,2023-05-24
CUST_00036,EXT_00781,userext_00781@email.com,RJ,low,2023-11-03,2023-12-25
CUST_00037,EXT_00501,userext_00501@email.com,SP,low,2023-07-05,2024-01-15
CUST_00038,EXT_00852,userext_00852@email.com,MG,mid,2023-01-30,2023-03-02
CUST_00039,EXT_00900,userext_00900@email.com,BA,low,2023-02-13,2023-07-20
CUST_00040,EXT_00498,userext_00498@email.com,SP,mid,2023-03-07,2023-07-23
CUST_00041,EXT_00487,userext_00487@email.com,BA,mid,2023-05-16,2023-08-29
CUST_00042,EXT_00894,userext_00894@email.com,BA,,2023-04-19,2023-08-05
CUST_00043,EXT_00774,userext_00774@email.com,,mid,2024-01-01,2024-02-19
CUST_00044,EXT_00409,userext_00409@email.com,,high,2023-08-13,2024-02-29
CUST_00045,EXT_00530,userext_00530@email.com,CE,low,2023-05-07,2023-06-03
CUST_00046,EXT_00066,userext_00066@email.com,MG,low,2023-10-29,2024-02-17
CUST_00047,EXT_00236,userext_00236@email.com,BA,mid,2023-01-04,2022-12-23
CUST_00048,EXT_00725,userext_00725@email.com,,low,2023-04-28,2023-04-15
CUST_00049,EXT_00033,userext_00033@email.com,MG,low,2023-09-21,2023-10-21
CUST_00050,EXT_00286,userext_00286@email.com,,,2023-04-20,2023-08-06
CUST_00051,EXT_00136,userext_00136@email.com,,,2023-05-05,2023-10-22
CUST_00052,EXT_00485,userext_00485@email.com,CE,mid,2023-02-18,2023-02-12
CUST_00053,EXT_00675,userext_00675@email.com,CE,high,2023-08-05,2023-10-19
CUST_00054,EXT_00479,userext_00479@email.com,,low,2023-12-11,2024-04-26
CUST_00055,EXT_00662,userext_00662@email.com,SP,low,2023-07-26,2023-12-29
CUST_00056,EXT_00348,userext_00348@email.com,SP,mid,2023-04-09,2023-04-27
CUST_00057,EXT_00550,userext_00550@email.com,CE,mid,2023-08-05,2023-08-21
CUST_00058,EXT_00286,userext_00286@email.com,CE,mid,2023-02-08,2023-05-02
CUST_00059,EXT_00828,userext_00828@email.com,BA,low,2023-01-26,2023-06-11
CUST_00060,EXT_00554,userext_00554@email.com,SP,low,2024-01-21,2024-07-26
